id;numeroSecuriteSociale;nom;prenom
144;136391168160820;Kerr;Marc
145;232743765050877;Pouchairet;Mary
146;213950935833868;Simenon;Léon
147;114309477117357;Kerr;Jane
148;151438223330624;Harper;Jean
149;213758376514125;Hugo;Jules
150;285760653542285;Zola;Marcel
151;208852701813976;Austen;Camilla
152;197345526899295;Twain;Harlan
153;108245380412918;Diderot;Pierre
154;178217093841105;Hugo;Peter
155;180722680598705;Bussi;Harlan
156;132688162066735;Vargas;Albert
157;118113742631788;Roberts;Isaac
158;266842999457720;Fleming;Pierre
