id;numeroSecuriteSociale;nom;prenom
24;189051331820246;de Musset;Mary
25;123248974401825;Higgins;J.
26;132713714336887;K. Rowling;Denis
27;292629401439608;Shelley;Jean
28;254064346043258;Chattam;Georges
29;132536296060212;Mention;Jo
30;112306543237566;Kepler;Louis
31;213075409144192;Fleming;Georges
32;247160614454817;Allan;Mary
33;180231050189064;Kerr;Mary
34;238165624478915;Tolstoï;Albert
35;100456082125326;Verne;Mary
36;119187427158186;Kafka;Louis
37;297473846082576;de Balzac;Roger
38;267869337622080;Higgins;Tina
