id;numeroSecuriteSociale;nom;prenom
44;161035219405821;de Musset;Alfred
45;179889274509969;Lemaitre;Jo
46;223116603758182;Kerr;Michel
47;193620139262291;May;Bernard
48;241974178507565;Shelley;Georges
49;204625654911918;Fleming;André
50;126590528245509;May;Maxime
51;131235420297089;Proust;Renaud
52;259289103344184;Conan;Peter
53;157568776630912;Parot;Franz
54;100226991999330;Kerr;Émile
55;152187737096470;London;Michaël
56;248096320216933;Nesbø;Jules
57;248736129038469;Asimov;Jules
58;165842761498238;Seskis;André
