id,,numeroSecuriteSociale,,
164,,192041518306142,,Proust,,J.
165,,125829336200260,,de Musset,,Oscar
166,,132178970097538,,Shelley,,Honoré
167,,198085719057809,,Gardner,,Jean-François
168Hayes,,Albert
169,,200776581861932,,Chattam,,Michel
170,,132701744793189,,Zola,,Mary
171,,206245909122033,,Simenon,,Michaël
172,,149694129464919,,Diderot,,Philip
173,,259020845412922,,Higgins Clark,,Maxime
174,,140677002916816,,Mention,,Camilla
175,,203657430722431,,Verne,,Arnaldur
176,,245130636963942,,Hawkins,,Maxime
177,,114175156850852,,Louis,,Lisa
178,,221539065065850,,Higgins,,Terry
