id;numeroSecuriteSociale;nom;prenom
84;288708536413630;Vargas;Paula
85;178058033513497;Coben;Edgar
86;176761800554703;Fleming;Jo
87;281617521044944;Harper;Émile
88;299281056127614;Kerr;Jane
89;190025243965738;May;Franz
90;245134180269113;Vargas;Léon
91;177204312697677;London;Harlan
92;251727914272910;Higgins;Jo
93;102777614811807;Wilde;André
94;162120778388848;Watson;Harlan
95;162832940798103;Watson;Jane
96;190503968807795;Tolstoï;Émile
97;227815814656665;Allan;Robert
98;204342207017848;Pouchairet;B.A.
